Audience_rating,Cast,Critic_rating,Director,Genre,ID,Movie,Release,Review,imdb,weblink
50,"[{u'name': u'Tom Selleck', u'characters': [u'Judge Timothy Nash'], u'id': u'162666130'}, {u'name': u'Elizabeth McGovern', u'characters': [u'Janice Dillon'], u'id': u'162669296'}, {u'name': u'Marsha Mason', u'characters': [u'Ruth Fraser'], u'id': u'162663466'}, {u'name': u'William Atherton', u'id': u'162768066'}, {u'name': u'Charles Haid', u'characters': [u'Harold Ashley'], u'id': u'162668386'}]",-1,[{u'name': u'Geoffrey Sax'}],"[Mystery & Suspense, Drama]",770739720,Broken Trust,1995-06-01,http://api.rottentomatoes.com/api/public/v1.0/movies/770739720/reviews.json,0112583,http://www.rottentomatoes.com/m/1062832-broken_trust/
76,"[{u'name': u'Keanu Reeves', u'characters': [u'Paul Sutton'], u'id': u'162654049'}, {u'name': u'Aitana Sanchez-Gijon', u'characters': [u'Victoria Aragon'], u'id': u'162680929'}, {u'name': u'Anthony Quinn', u'characters': [u'Don Pedro Aragon'], u'id': u'162663410'}, {u'name': u'Giancarlo Giannini', u'characters': [u'Alberto Aragon'], u'id': u'162709399'}, {u'name': u'Angelica Aragon', u'characters': [u'Marie Jose Aragon'], u'id': u'770792696'}]",42,[{u'name': u'Alfonso Arau'}],"[Drama, Romance]",12571,A Walk in the Clouds,1995-08-11,http://api.rottentomatoes.com/api/public/v1.0/movies/12571/reviews.json,0114887,http://www.rottentomatoes.com/m/walk_in_the_clouds/
83,"[{u'name': u'Sean Astin', u'characters': [u'Harrison Bergeron'], u'id': u'162659177'}, {u'name': u'Miranda de Pencier', u'characters': [u'Phillipa'], u'id': u'364622473'}, {u'name': u'Christopher Plummer', u'characters': [u'Klaxon'], u'id': u'162652929'}, {u'name': u'Buck Henry', u'characters': [u'Havlicek'], u'id': u'162669547'}, {u'name': u'Eugene Levy', u'characters': [u'President McKloskey'], u'id': u'162653784'}]",-1,[{u'name': u'Bruce Pittman'}],"[Television, Science Fiction & Fantasy]",603020034,Harrison Bergeron,1995-08-13,http://api.rottentomatoes.com/api/public/v1.0/movies/603020034/reviews.json,0113264,http://www.rottentomatoes.com/m/harrison-bergeron/
100,"[{u'name': u'Liam Gallagher', u'id': u'770713639'}, {u'name': u'Noel Gallagher', u'id': u'770708102'}, {u'name': u'Paul McGuigan', u'id': u'162666772'}, {u'name': u'Paul Arthurs', u'id': u'770850119'}, {u'name': u'Tony McCarroll', u'id': u'770850120'}]",-1,[{u'name': u'Nigel Dick'}],[Musical & Performing Arts],770814272,Oasis: Live by the Sea,1995-08-28,http://api.rottentomatoes.com/api/public/v1.0/movies/770814272/reviews.json,0332284,http://www.rottentomatoes.com/m/oasis-live-by-the-sea/
50,"[{u'name': u'Erland Josephson', u'characters': [u'Broder Edvin', u'Brother Edvin'], u'id': u'162675453'}, {u'name': u'Lena Endre', u'characters': [u'Eline Ormsdatter'], u'id': u'162713582'}, {u'name': u'Elisabeth Matheson', u'characters': [u'Kristin Lavransdatter'], u'id': u'770724910'}, {u'name': u'Sverre Anker Ousdal', u'characters': [u'Lavrans'], u'id': u'364582720'}, {u'name': u'Bjorn Skagestad', u'characters': [u'Erlend Nikulausson'], u'id': u'770808179'}]",-1,[{u'name': u'Liv Ullmann'}],"[Art House & International, Drama]",20557,Kristin Lavransdatter,1995-01-01,http://api.rottentomatoes.com/api/public/v1.0/movies/20557/reviews.json,0113576,http://www.rottentomatoes.com/m/kristin_lavransdatter/
0,"[{u'name': u'Timothy Hutton', u'characters': [u'Martin Ryan'], u'id': u'162671778'}, {u'name': u'Michelle Burke', u'characters': [u'Caprice/Sara'], u'id': u'770689299'}, {u'name': u'Chazz Palminteri', u'characters': [u'Ricky'], u'id': u'162655475'}, {u'name': u'Joe Cortese', u'characters': [u'Jimmy'], u'id': u'770672619'}, {u'name': u'Tony Goldwyn', u'characters': [u'Stan'], u'id': u'162656408'}]",-1,[{u'name': u'Tony Spirdakis'}],"[Drama, Action & Adventure, Mystery & Suspense]",770738808,The Last Word,1995-08-27,http://api.rottentomatoes.com/api/public/v1.0/movies/770738808/reviews.json,0110313,http://www.rottentomatoes.com/m/1062857-last_word/
0,"[{u'name': u'Timothy Hutton', u'characters': [u'Martin Ryan'], u'id': u'162671778'}, {u'name': u'Michelle Burke', u'characters': [u'Caprice/Sara'], u'id': u'770689299'}, {u'name': u'Chazz Palminteri', u'characters': [u'Ricky'], u'id': u'162655475'}, {u'name': u'Joe Cortese', u'characters': [u'Jimmy'], u'id': u'770672619'}, {u'name': u'Tony Goldwyn', u'characters': [u'Stan'], u'id': u'162656408'}]",-1,[{u'name': u'Tony Spirdakis'}],"[Drama, Action & Adventure, Mystery & Suspense]",770738808,The Last Word,1995-08-27,http://api.rottentomatoes.com/api/public/v1.0/movies/770738808/reviews.json,0110313,http://www.rottentomatoes.com/m/1062857-last_word/
45,"[{u'name': u'Gena Rowlands', u'characters': [u'Aunt Mae'], u'id': u'162653219'}, {u'name': u'Jacob Tierney', u'characters': [u'David at 15'], u'id': u'364610669'}, {u'name': u'Diana Scarwid', u'characters': [u'Sarah'], u'id': u'162661521'}, {u'name': u'Drake Bell', u'characters': [u'David at 10'], u'id': u'404566881'}, {u'name': u'Denis Leary', u'characters': [u'Frank'], u'id': u'162659182'}]",60,[{u'name': u'Terence Davies'}],"[Drama, Kids & Family]",21250,The Neon Bible,1996-03-01,http://api.rottentomatoes.com/api/public/v1.0/movies/21250/reviews.json,0113952,http://www.rottentomatoes.com/m/neon_bible/
48,"[{u'name': u'Schuyler Fisk', u'characters': [u'Kristy Brewer'], u'id': u'162672658'}, {u'name': u'Rachael Leigh Cook', u'characters': [u'Mary Ann Spier'], u'id': u'162666273'}, {u'name': u'Bre Blair', u'characters': [u'Stacey'], u'id': u'162673678'}, {u'name': u'Larisa Oleynik', u'characters': [u'Dawn'], u'id': u'382254460'}, {u'name': u'Tricia Joe', u'characters': [u'Claudia'], u'id': u'770714978'}]",64,"[{u'name': u'Lynn Hamrick'}, {u'name': u'Melanie Mayron'}]","[Comedy, Kids & Family]",11628,The Baby-Sitters Club,1995-08-18,http://api.rottentomatoes.com/api/public/v1.0/movies/11628/reviews.json,0112435,http://www.rottentomatoes.com/m/babysitters_club_the_movie/
27,"[{u'name': u'Thomas Ian Nicholas', u'characters': [u'Calvin'], u'id': u'162667401'}, {u'name': u'Joss Ackland', u'characters': [u'King Arthur'], u'id': u'162668735'}, {u'name': u'Art Malik', u'characters': [u'Lord Belasco'], u'id': u'364605161'}, {u'name': u'Paloma Baeza', u'characters': [u'Princess Katey'], u'id': u'444254120'}, {u'name': u'Kate Winslet', u'characters': [u'Princess Sarah'], u'id': u'162659302'}]",5,[{u'name': u'Michael Gottlieb'}],"[Action & Adventure, Kids & Family, Science Fiction & Fantasy, Comedy]",11940,A Kid in King Arthur's Court,1995-08-11,http://api.rottentomatoes.com/api/public/v1.0/movies/11940/reviews.json,0113538,http://www.rottentomatoes.com/m/kid_in_king_arthurs_court/
