,Audience_rating,Cast,Critic_rating,Director,Genre,ID,Movie,Release,Review,imdb,weblink,BoxOffice
72,91,"[{u'name': u'Tom Cruise', u'characters': [u'Major William Cage'], u'id': u'162652763'}, {u'name': u'Emily Blunt', u'characters': [u'Rita Vrataski'], u'id': u'162685827'}, {u'name': u'Bill Paxton', u'characters': [u'Master Sergeant Farell'], u'id': u'162654226'}, {u'name': u'Jonas Armstrong', u'characters': [u'Skinner'], u'id': u'770796908'}, {u'name': u'Tony Way', u'characters': [u'Kimmel'], u'id': u'770853907'}]",90,[{u'name': u'Doug Liman'}],"[u'Drama', u'Science Fiction & Fantasy']",771317257,Live Die Repeat: Edge of Tomorrow,2014-06-06,http://api.rottentomatoes.com/api/public/v1.0/movies/771317257/reviews.json,1631867,http://www.rottentomatoes.com/m/live_die_repeat_edge_of_tomorrow/,99992247
73,53,"[{u'name': u'Mark Wahlberg', u'characters': [u'Cade Yeager'], u'id': u'162653181'}, {u'name': u'Jack Reynor', u'characters': [u'Shane Dyson'], u'id': u'771403543'}, {u'name': u'Nicola Peltz', u'characters': [u'Tessa Yeager'], u'id': u'770833458'}, {u'name': u'Stanley Tucci', u'characters': [u'Joshua Joyce'], u'id': u'162661152'}, {u'name': u'Kelsey Grammer', u'characters': [u'Harold Attinger'], u'id': u'162660300'}]",18,[{u'name': u'Michael Bay'}],"[u'Action & Adventure', u'Science Fiction & Fantasy']",771269858,Transformers: Age of Extinction,2014-06-27,http://api.rottentomatoes.com/api/public/v1.0/movies/771269858/reviews.json,2109248,http://www.rottentomatoes.com/m/transformers_age_of_extinction/,245435927
74,80,"[{u'name': u'Jonah Hill', u'characters': [u'Schmidt'], u'id': u'326297850'}, {u'name': u'Channing Tatum', u'characters': [u'Jenko'], u'id': u'162661835'}, {u'name': u'Peter Stormare', u'characters': [u'The Ghost'], u'id': u'162725032'}, {u'name': u'Ice Cube', u'characters': [u'Captain Dickson'], u'id': u'162652332'}, {u'name': u'Amber Stevens', u'characters': [u'Maya'], u'id': u'770793901'}]",84,"[{u'name': u'Chris Miller (VII)'}, {u'name': u'Phil Lord'}]","[u'Action & Adventure', u'Comedy']",771355226,22 Jump Street,2014-06-13,http://api.rottentomatoes.com/api/public/v1.0/movies/771355226/reviews.json,2294449,http://www.rottentomatoes.com/m/22_jump_street/,188441614
75,52,"[{u'name': u'Deng Chao', u'characters': [u'Mei Yuangui'], u'id': u'770904621'}, {u'name': u'Mi Yang', u'characters': [u'Ye Xiaochun'], u'id': u'770779697'}, {u'name': u'Chao Wei Liang', u'characters': [u'Mountain Tang'], u'id': u'770917383'}, {u'name': u'Xu Kejia', u'characters': [u'Old Six'], u'id': u'771496626'}, {u'name': u'Liu Yan', u'characters': [u'Zhu Li'], u'id': u'771496627'}]",-1,"[{u'name': u'Chao Deng'}, {u'name': u'Yu Baimei'}]","[u'Action & Adventure', u'Comedy']",771379200,The BreakUp Guru,2014-06-27,http://api.rottentomatoes.com/api/public/v1.0/movies/771379200/reviews.json,3667798,http://www.rottentomatoes.com/m/the_breakup_guru/,201214
76,61,"[{u'name': u'Adam Brody', u'characters': [u'Isaac'], u'id': u'162652628'}, {u'name': u'Michael Ealy', u'characters': [u'Dominic'], u'id': u'162713769'}, {u'name': u'Jerry Ferrara', u'characters': [u'Jeremy'], u'id': u'364659706'}, {u'name': u'Meagan Good', u'characters': [u'Mya'], u'id': u'162654101'}, {u'name': u'Regina Hall', u'characters': [u'Candace'], u'id': u'162667054'}]",23,[{u'name': u'Tim Story'}],"[u'Comedy', u'Romance']",771358910,Think Like a Man Too,2014-06-20,http://api.rottentomatoes.com/api/public/v1.0/movies/771358910/reviews.json,2239832,http://www.rottentomatoes.com/m/think_like_a_man_too/,65028687
77,83,"[{u'name': u'Edie McClurg', u'id': u'364623351'}, {u'name': u'Jason Burkey', u'id': u'771386188'}, {u'name': u'John Diehl', u'id': u'162716099'}, {u'name': u'Robert Davi', u'id': u'162669828'}, {u'name': u'Zoe Myers', u'id': u'771045027'}]",-1,"[{u'name': u'Michael Davis'}, {u'name': u'John Errington'}]",[u'Drama'],771380262,A Long Way Off,2014-06-06,http://api.rottentomatoes.com/api/public/v1.0/movies/771380262/reviews.json,2386502,http://www.rottentomatoes.com/m/a_long_way_off/,27013
80,42,"[{u'name': u'Pierre Niney', u'characters': [u'Yves Saint Laurent'], u'id': u'770862270'}, {u'name': u'Guillaume Gallienne', u'characters': [u'Pierre Berge'], u'id': u'770691966'}, {u'name': u'Charlotte Le Bon', u'characters': [u'Victoire Doutreleau'], u'id': u'771426955'}, {u'name': u'Laura Smet', u'characters': [u'Loulou de la Falaise'], u'id': u'326299055'}, {u'name': u'Marie de Villepin', u'characters': [u'Betty Catroux'], u'id': u'771379757'}]",44,[{u'name': u'Jalil Lespert'}],[u'Drama'],771372109,Yves Saint Laurent,2014-06-25,http://api.rottentomatoes.com/api/public/v1.0/movies/771372109/reviews.json,2707858,http://www.rottentomatoes.com/m/yves_saint_laurent/,262407
81,80,"[{u'name': u'Ryan McGarry', u'id': u'771447829'}, {u'name': u'Andrew Eads, M.D.', u'id': u'771495816'}, {u'name': u'Danny Cheng, M.D.', u'id': u'771495818'}, {u'name': u'Arash Kohanteb, M.D.', u'id': u'771495819'}, {u'name': u'William ""Billy"" Mallon, M.D.', u'id': u'771495820'}]",91,[{u'name': u'Ryan McGarry'}],"[u'Documentary', u'Special Interest']",771357553,CODE BLACK,2014-06-20,http://api.rottentomatoes.com/api/public/v1.0/movies/771357553/reviews.json,2759372,http://www.rottentomatoes.com/m/code_black_2013/,190229
82,38,"[{u'name': u'Kristyan Ferrer', u'characters': [u'Sebastian'], u'id': u'770830717'}, {u'name': u'Adriana Paz', u'characters': [u'Miranda'], u'id': u'770839342'}, {u'name': u'Eliseo Lara Martinez', u'characters': [u'Jacinto'], u'id': u'771493255'}, {u'name': u'Bartolo Campos', u'characters': [u'Severino'], u'id': u'771493256'}, {u'name': u'Rebeca Villacorte', u'characters': [u'Lucha'], u'id': u'771493257'}]",83,"[{u'name': u'Aaron Fernandez'}, {u'name': u'Aaron Fernandez Lesur'}]",[u'Drama'],771366327,The Empty Hours,2014-07-11,http://api.rottentomatoes.com/api/public/v1.0/movies/771366327/reviews.json,3249158,http://www.rottentomatoes.com/m/the_empty_hours/,4609
84,94,"[{u'name': u'Chris Pratt', u'characters': [u'Peter Quill/Star-Lord'], u'id': u'770692298'}, {u'name': u'Zoe Saldana', u'characters': [u'Gamora'], u'id': u'162660050'}, {u'name': u'Dave Bautista', u'characters': [u'Drax'], u'id': u'771584423'}, {u'name': u'Lee Pace', u'characters': [u'Ronan the Accuser'], u'id': u'493815806'}, {u'name': u'Michael Rooker', u'characters': [u'Yondu'], u'id': u'162724222'}]",90,[{u'name': u'James Gunn'}],"[u'Action & Adventure', u'Science Fiction & Fantasy']",771311818,Guardians of the Galaxy,2014-08-01,http://api.rottentomatoes.com/api/public/v1.0/movies/771311818/reviews.json,2015381,http://www.rottentomatoes.com/m/guardians_of_the_galaxy/,330004000
85,90,"[{u'name': u'Jason Clarke', u'characters': [u'Malcolm'], u'id': u'359854726'}, {u'name': u'Gary Oldman', u'characters': [u'Dreyfus'], u'id': u'162652649'}, {u'name': u'Keri Russell', u'characters': [u'Ellie'], u'id': u'162685092'}, {u'name': u'Kodi Smit-McPhee', u'characters': [u'Alexander'], u'id': u'770673434'}, {u'name': u'Kirk Acevedo', u'characters': [u'Carver'], u'id': u'326392718'}]",91,[{u'name': u'Matt Reeves'}],"[u'Drama', u'Action & Adventure', u'Science Fiction & Fantasy']",771308675,Dawn Of The Planet Of The Apes,2014-07-11,http://api.rottentomatoes.com/api/public/v1.0/movies/771308675/reviews.json,2103281,http://www.rottentomatoes.com/m/dawn_of_the_planet_of_the_apes/,207604640
86,47,"[{u'name': u'Min-sik Choi', u'characters': [u'Mr. Jang'], u'id': u'162695879'}, {u'name': u'Pilou Asbaek', u'characters': [u'Richard'], u'id': u'770921406'}, {u'name': u'Scarlett Johansson', u'characters': [u'Lucy'], u'id': u'162652872'}, {u'name': u'Morgan Freeman', u'characters': [u'Professor Norman'], u'id': u'162652224'}, {u'name': u'Amr Waked', u'characters': [u'Pierre Del Rio'], u'id': u'326393104'}]",66,[{u'name': u'Luc Besson'}],[u'Action & Adventure'],771360863,Lucy,2014-07-25,http://api.rottentomatoes.com/api/public/v1.0/movies/771360863/reviews.json,2872732,http://www.rottentomatoes.com/m/lucy_2014/,125480625
87,53,"[{u'name': u'Dwayne ""The Rock"" Johnson', u'characters': [u'Hercules'], u'id': u'770893686'}, {u'name': u'Ian McShane', u'characters': [u'Amphiaraus'], u'id': u'326396263'}, {u'name': u'Rufus Sewell', u'characters': [u'Autolycus'], u'id': u'162654887'}, {u'name': u'Ingrid Bolso Berdal', u'characters': [u'Atalanta'], u'id': u'771616959'}, {u'name': u'John Hurt', u'characters': [u'Lord Cotys'], u'id': u'162653221'}]",58,[{u'name': u'Brett Ratner'}],"[u'Action & Adventure', u'Science Fiction & Fantasy']",771324950,Hercules,2014-07-25,http://api.rottentomatoes.com/api/public/v1.0/movies/771324950/reviews.json,1267297,http://www.rottentomatoes.com/m/hercules_the_thracian_wars/,72385417
88,60,"[{u'name': u'Frank Grillo', u'characters': [u'Sergeant'], u'id': u'770679606'}, {u'name': u'Kiele Sanchez', u'characters': [u'Liz'], u'id': u'770719183'}, {u'name': u'Michael K. Williams', u'characters': [u'Carmelo'], u'id': u'770685984'}, {u'name': u'Zach Gilford', u'characters': [u'Shane'], u'id': u'770681835'}, {u'name': u'Carmen Ejogo', u'characters': [u'Eva'], u'id': u'770716015'}]",56,[{u'name': u'James DeMonaco'}],[u'Horror'],771358674,The Purge: Anarchy,2014-07-18,http://api.rottentomatoes.com/api/public/v1.0/movies/771358674/reviews.json,2975578,http://www.rottentomatoes.com/m/the_purge_anarchy_2014/,68547000
89,59,"[{u'name': u'Adam G. Sevani', u'characters': [u'Robert ""Moose"" Alexander III'], u'id': u'770698377'}, {u'name': u'Alyson Stoner', u'characters': [u'Camille Cage'], u'id': u'570632261'}, {u'name': u'Ryan Guzman', u'characters': [u'Sean'], u'id': u'771381076'}, {u'name': u'tWitch Boss', u'characters': [u'Jason'], u'id': u'771455900'}, {u'name': u'Stephen Boss', u'characters': [u'Jason'], u'id': u'770855519'}]",43,[{u'name': u'Trish Sie'}],"[u'Drama', u'Romance', u'Musical & Performing Arts']",771371934,Step Up: All In,2014-08-08,http://api.rottentomatoes.com/api/public/v1.0/movies/771371934/reviews.json,2626350,http://www.rottentomatoes.com/m/step_up_all_in/,14897580
90,49,"[{u'name': u'Brian Bradley', u'id': u'770771664'}, {u'name': u'Teo Halm', u'characters': [u'Alex'], u'id': u'771452922'}, {u'name': u'Astro', u'characters': [u'Tuck'], u'id': u'770769927'}, {u'name': u'Ella Linnea Wahlestedt', u'characters': [u'Emma'], u'id': u'771483962'}, {u'name': u'Reese C. Hartwig', u'characters': [u'Munch'], u'id': u'771452923'}]",48,[{u'name': u'Dave Green'}],[u'Action & Adventure'],771356653,Earth to Echo,2014-07-02,http://api.rottentomatoes.com/api/public/v1.0/movies/771356653/reviews.json,2183034,http://www.rottentomatoes.com/m/earth_to_echo/,38753987
91,89,"[{u'name': u'Ellar Coltrane', u'characters': [u'Mason'], u'id': u'771478993'}, {u'name': u'Patricia Arquette', u'characters': [u'Mom'], u'id': u'162670129'}, {u'name': u'Ethan Hawke', u'characters': [u'Dad'], u'id': u'162660464'}, {u'name': u'Lorelei Linklater', u'characters': [u'Samantha'], u'id': u'771017690'}, {u'name': u'Elijah Smith', u'characters': [u'Tommy'], u'id': u'771497481'}]",99,[{u'name': u'Richard Linklater'}],[u'Drama'],771373348,Boyhood,2014-07-11,http://api.rottentomatoes.com/api/public/v1.0/movies/771373348/reviews.json,1065073,http://www.rottentomatoes.com/m/boyhood/,23016519
93,53,"[{u'name': u'Eileen Atkins', u'characters': [u'Aunt Vanessa'], u'id': u'162663863'}, {u'name': u'Colin Firth', u'characters': [u'Stanley'], u'id': u'162654659'}, {u'name': u'Marcia Gay Harden', u'characters': [u'Mrs. Baker'], u'id': u'162652892'}, {u'name': u'Emma Stone', u'characters': [u'Sophie'], u'id': u'770683296'}, {u'name': u'Hamish Linklater', u'characters': [u'Brice'], u'id': u'770695024'}]",51,[{u'name': u'Woody Allen'}],"[u'Drama', u'Comedy']",771367659,Magic in the Moonlight,2014-07-25,http://api.rottentomatoes.com/api/public/v1.0/movies/771367659/reviews.json,2870756,http://www.rottentomatoes.com/m/magic_in_the_moonlight/,10323802
94,23,"[{u'name': u'Henry Ian Cusick', u'characters': [u'Danny Hart'], u'id': u'385329548'}, {u'name': u'Nicki Lynn Aycox', u'characters': [u'Lexi'], u'id': u'162691718'}, {u'name': u'Stephen Lang', u'characters': [u'Det. Lloyd Martin'], u'id': u'162662195'}, {u'name': u'David Margulies', u'characters': [u'Morris Herzman'], u'id': u'753783182'}, {u'name': u'Charles Aitken', u'id': u'771453354'}]",-1,[{u'name': u'Larry Brand'}],[u'Drama'],771374317,The Girl on The Train,2014-07-03,http://api.rottentomatoes.com/api/public/v1.0/movies/771374317/reviews.json,2387589,http://www.rottentomatoes.com/m/the_girl_on_the_train_2014/,877
95,81,"[{u'name': u'Gabriel Iglesias', u'id': u'770761504'}, {u'name': u'Jacqueline Obradors', u'characters': [u'Esther P. Mendez'], u'id': u'162665815'}, {u'name': u'Gina Brillon', u'characters': [u'Carmen'], u'id': u'771498538'}, {u'name': u'Alfred Robles', u'characters': [u'Pervert #1'], u'id': u'771498539'}, {u'name': u'Armondo Cosio', u'characters': [u'Host'], u'id': u'771316179'}]",54,[{u'name': u'Manny Rodriguez'}],"[u'Comedy', u'Special Interest']",771375186,The Fluffy Movie,2014-07-25,http://api.rottentomatoes.com/api/public/v1.0/movies/771375186/reviews.json,3532608,http://www.rottentomatoes.com/m/the_fluffy_movie/,2370158
97,36,"[{u'name': u'Sean Astin', u'characters': [u'Narrator'], u'id': u'162659177'}, {u'name': u'Zach Braff', u'id': u'162655018'}, {u'name': u'Al Alcorn', u'id': u'771498351'}, {u'name': u'Peter Armstrong', u'id': u'770714529'}, {u'name': u'Chuck Beaver', u'id': u'771498352'}]",18,[{u'name': u'Jeremy Snead'}],"[u'Documentary', u'Special Interest']",771380521,Video Games: The Movie,2014-07-18,http://api.rottentomatoes.com/api/public/v1.0/movies/771380521/reviews.json,3214002,http://www.rottentomatoes.com/m/video_games_the_movie/,12759
98,34,"[{u'name': u'Jason Segel', u'characters': [u'Jay'], u'id': u'770670222'}, {u'name': u'Cameron Diaz', u'characters': [u'Annie'], u'id': u'162654443'}, {u'name': u'Rob Corddry', u'characters': [u'Robby'], u'id': u'312208850'}, {u'name': u'Ellie Kemper', u'characters': [u'Tess'], u'id': u'770842233'}, {u'name': u'Rob Lowe', u'characters': [u'Hank'], u'id': u'162663375'}]",18,[{u'name': u'Jake Kasdan'}],[u'Comedy'],771355227,Sex Tape,2014-07-18,http://api.rottentomatoes.com/api/public/v1.0/movies/771355227/reviews.json,1956620,http://www.rottentomatoes.com/m/sex_tape_2014/,33880665
